Kod;Numer;X;Y;Adres;Strefa;stan;
E240074;11100319;21.00470028;52.25080027;ul. Nowiniarska 8;jest na zero;brak;jest na zero
E240077;11100345;21.01705626;52.24498678;ul. Bednarska 19/19A;jest na zero;brak;jest na zero
E240078;11100342;21.01885288;52.2453718;ul. Bednarska 10;jest na zero;brak;jest na zero
E240083;11100349;21.01902357;52.24446425;ul. Furmańska;jest na zero;brak;jest na zero
E240104;11101009;21.02328602;52.2415513;ul. Lipowa;jest na zero;brak;jest na zero
E240115;11101014;21.02499022;52.24039305;ul. Leszczyńska 1;jest na zero;brak;jest na zero
E240119;5240119;21.026030224755;52.239523498897;ul. Drewniana 7;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
E240126;11101020;21.0315102;52.23869722;ul. Wybrzeże Kościuszkowskie 39;jest na zero;brak;jest na zero
E240127;11100913;21.02427872;52.23808891;ul. Zajęcza;jest na zero;brak;jest na zero
E240129;11100920;21.02457515;52.23736826;ul. Cicha 1;jest na zero;brak;jest na zero
E240131;11101026;21.02759873;52.2378439;ul. Tamka 15;jest na zero;brak;jest na zero
E240139;11101023;21.03008182;52.23818243;ul. J. Smulikowskiego 9;jest na zero;brak;jest na zero
E240142;11101029;21.0309532;52.23714271;ul. Smulikowskiego;jest na zero;brak;jest na zero
E240144;11101030;21.02990217;52.23701068;ul. Dobra 11;jest na zero;brak;jest na zero
E240159;11101408;21.03273185;52.23445253;al. 3 Maja 12;jest na zero;brak;jest na zero
E240163;11101412;21.03307321;52.23406741;al. 3 Maja 5;jest na zero;brak;jest na zero
E240179;5240179;21.034038373727;52.229299610625;ul. Czerniakowska - Park 1;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
E240180;11101432;21.0345195;52.22923123;ul. Czerniakowska;jest na zero;brak;jest na zero
E240228;11101717;21.03490578;52.22452659;ul. Rozbrat 22/24;adapter;brak;adapter
E240239;5240239;21.035922502668;52.222912077986;ul. Przemysłowa 38;jest na zero;brak;jest na zero
E240250;11101732;21.04003516;52.21810436;ul. Kawalerii;jest na zero;brak;jest na zero
E240251;11101733;21.03910989;52.21790072;ul. Kawalerii 5;jest na zero;brak;jest na zero
E240265;5240265;21.007990671109;52.255092777076;ul. Przyrynek 9;jest na zero;brak;jest na zero
E240274;11100926;21.02793485;52.2358389;ul. L. Kruczkowskiego;jest na zero;brak;jest na zero
E240275;11101036;21.02839299;52.23579489;ul. L. Kruczkowskiego 12B;jest na zero;brak;jest na zero
E240280;11100331;21.01918107;52.24729047;ul. Nowy Zjazd 1;jest na zero;brak;jest na zero
E240294;5240294;21.035124837309;52.224912183128;ul. Górnośląska 29;jest na zero;brak;jest na zero
F170310;6170310;20.986833013594;52.218164717952;ul. Mochnackiego 4;jest na zero;brak;jest na zero
F170322;6170322;20.9925329;52.2189909;ul. Filtrowa 67;jest na zero;brak;jest na zero
F170323;6170323;20.9927283;52.2185685;ul. Warszewickiego 3;jest na zero;brak;jest na zero
F170408;6170408;20.9980453;52.2188376;ul. Filtrowa 59;jest na zero;brak;jest na zero
F250104;6250104;20.98762905738;52.230375861438;ul. Pańska vis-vis 101;jest na zero;brak;jest na zero
F250105;6250105;20.988736201557;52.230465003262;ul. Pańska 97;jest na zero;brak;jest na zero
F250113;6250113;20.992278568942;52.229914359641;ul. Sienna 87;jest na zero;brak;jest na zero
F250119;6250119;20.990149933572;52.227581426511;ul. Srebrna 6;jest na zero;brak;jest na zero
F250130;6250130;20.993415619613;52.228445980712;ul. Twarda 51;jest na zero;brak;jest na zero
F250208;6250208;20.987364476133;52.238287346964;ul. Ogrodowa 39-41;jest na zero;brak;jest na zero
F250218;6250218;20.98497923113;52.235645487377;ul. Wronia/Krochmalna;jest na zero;brak;jest na zero
F250231;6250231;20.991133191525;52.232860646986;ul. Łucka 1-3-5;jest na zero;brak;jest na zero
F250233;17170831;20.98808706;52.23129993;ul. Prosta 32;jest na zero;brak;jest na zero
F250235;6250235;20.988075528711;52.236852740184;ul. Chłodna 29;jest na zero;brak;jest na zero
F250236;17170828;20.984458;52.23168134;ul. Łucka;jest na zero;brak;jest na zero
F250313;6250313;20.9854889;52.2443414;Skwer Apfelbauma;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
F250326;6250326;20.9865104;52.2430754;ul. Nowolipki 25;jest na zero;brak;jest na zero
F250333;17170617;20.98752673;52.24297054;ul. Smocza;jest na zero;brak;jest na zero
F250336;17170613;20.9916589;52.24366663;al. Jana Pawła II 43A;jest na zero;brak;jest na zero
F250337;17170621;20.99254022;52.24265718;al. Jana Pawła II 41A;jest na zero;brak;jest na zero
F250345;17170635;20.98287597;52.23950305;Skwer kard. S. Wyszyńskiego 3;jest na zero;brak;jest na zero
F250347;6250347;20.986589048877;52.240189145348;ul. Żelazna - al. Solidarności 92;jest na zero;brak;jest na zero
F250349;17170634;20.98629635;52.23972803;al. Solidarności 94;jest na zero;brak;jest na zero
F250404;17170117;20.98451504;52.25087002;ul. Stawki;jest na zero;brak;jest na zero
F250416;17170129;20.98488703;52.24673836;ul. Smocza 18;jest na zero;brak;jest na zero
F250511;6250511;20.996677441461;52.253750778385;ul. Stawki 2;jest na zero;brak;jest na zero
F250520;11100128;20.98617036;52.25129022;ul. Stawki 14;jest na zero;brak;jest na zero
F250601;11100112;20.99284497;52.25357254;ul. Stawki 3;jest na zero;brak;jest na zero
F250604;11100131;20.98728678;52.25102761;ul. Niska 12;jest na zero;brak;jest na zero
F250637;11100135;20.99675416;52.25030765;ul. Nalewki 8;jest na zero;brak;jest na zero
F250701;6250701;20.996482277029;52.248946883955;ul. Anielewicza 3-5;jest na zero;brak;jest na zero
F250702;11100402;20.993177;52.248420;ul. Anielewicza 9;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
F250710;11100407;20.99536275;52.24753877;ul. Dzielna 4;jest na zero;brak;jest na zero
F250721;11100418;20.99327389;52.24531409;ul. Nowolipki 15;jest na zero;brak;jest na zero
F250726;11100423;20.99313692;52.2428061;Al. Jana Pawła II 46/48;jest na zero;brak;jest na zero
G010211;7010211;21.0158818;52.2314709;ul. Krucza 51b;jest na zero;brak;jest na zero
G020201;7020201;21.0170473;52.2307614;Al. Jerozolimskie 17;Wycięte szpilki;brak;Wycięte szpilki
G020209;7020209;21.0202775;52.2306297;ul. Mysia 2;stoi na starym;brak;stoi na starym
G020323;7020323;21.0173283;52.2252844;ul. Wilcza 26;jest na zero;brak;jest na zero
G040706;7040706;21.0131969;52.2244153;ul. Wilcza 44;Wycięte szpilki;brak;Wycięte szpilki
G050224;7050224;21.0198847;52.2219958;ul. Koszykowa 20;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
G050229;7050229;21.022371552569;52.223735984711;ul. Piękna 3a;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
G100225;7100225;21.0092416;52.2320503;ul. Marszałkowska Pl.Defilad;jest na zero;brak;jest na zero
M040237;13040237;21.015689942293;52.204314841988;ul. A. J. Madalińskiego 31/33;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
M040342;13040342;21.004252096872;52.201284117055;ul. M. Karłowicza 12;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
P270213;13070207;21.04214652;52.26057529;ul. Stalowa 28 / Czynszowa;0;brak;0
P270218;13070209;21.04545733;52.26014506;ul. Wileńska 63;wyrwany do odtworzenia;brak;wyrwany do odtworzenia
W260105;17170301;20.97661411;52.22832918;ul. J. Korczaka 3;jest na zero;brak;jest na zero
W260119;21260119;20.95897634;52.22322219;al. Prymasa Tysiaclecia 46;jest na zero;brak;jest na zero
W260210;21260210;20.96722455;52.23355085;ul. Wolska / Skierniewicka 21;jest na zero;brak;jest na zero
W260403;21260403;20.95611402;52.23502424;al. Prymasa Tysiaclecia 62;jest na zero;brak;jest na zero
W260501;17170240;20.9740277;52.23547463;"Al. ""Solidarności""";jest na zero;brak;jest na zero
W260508;17170218;20.9751804;52.23917661;ul. Karolkowa 63;jest na zero;brak;jest na zero
W260604;17170230;20.97145943;52.23715567;ul. Górczewska 4;jest na zero;brak;jest na zero
